date,sex,age,ethnicity,population
1971-01-01,both,15-19,overall,1238.7
1971-01-01,both,20-24,overall,970.7
1971-01-01,both,25-29,overall,734.2
1971-01-01,both,30-34,overall,666.2
1971-01-01,both,35-39,overall,545.4
1971-01-01,both,40-44,overall,468.5
1971-01-01,both,45-49,overall,393.8
1971-01-01,both,50-54,overall,342.1
1971-01-01,both,55-59,overall,280.6
1971-01-01,both,60-64,overall,236.1
1971-01-01,both,65-69,overall,155.1
1971-01-01,both,70+,overall,221.2
1971-01-01,female,overall,overall,5506.3
1971-01-01,female,0-4,overall,844.2
1971-01-01,female,5-9,overall,828.3
1971-01-01,female,10-14,overall,734.4
1971-01-01,female,15-19,overall,619.1
1971-01-01,female,20-24,overall,485.4
1971-01-01,female,25-29,overall,365.0
1971-01-01,female,30-34,overall,329.2
1971-01-01,female,35-39,overall,273.6
1971-01-01,female,40-44,overall,232.8
1971-01-01,female,45-49,overall,196.8
1971-01-01,female,50-54,overall,168.9
1971-01-01,female,55-59,overall,134.2
1971-01-01,female,60-64,overall,112.4
1971-01-01,female,65-69,overall,71.1
1971-01-01,female,70+,overall,111.2
1971-01-01,male,overall,overall,5653.4
1971-01-01,male,0-4,overall,881.6
1971-01-01,male,5-9,overall,861.5
1971-01-01,male,10-14,overall,757.0
1971-01-01,male,15-19,overall,619.6
1971-01-01,male,20-24,overall,485.3
1971-01-01,male,25-29,overall,369.2
1971-01-01,male,30-34,overall,337.0
1971-01-01,male,35-39,overall,271.8
1971-01-01,male,40-44,overall,235.8
1971-01-01,male,45-49,overall,197.0
1971-01-01,male,50-54,overall,173.3
1971-01-01,male,55-59,overall,146.4
1971-01-01,male,60-64,overall,123.7
1971-01-01,male,65-69,overall,84.1
1971-01-01,male,70+,overall,110.0
1972-01-01,both,overall,overall,11441.3
1972-01-01,both,0-4,overall,1758.0
1972-01-01,both,5-9,overall,1688.4
1972-01-01,both,10-14,overall,1528.7
1972-01-01,both,15-19,overall,1279.5
1972-01-01,both,20-24,overall,1019.3
1972-01-01,both,25-29,overall,777.5
1972-01-01,both,30-34,overall,673.0
1972-01-01,both,35-39,overall,570.3
1972-01-01,both,40-44,overall,478.8
1972-01-01,both,45-49,overall,405.9
1972-01-01,both,50-54,overall,347.2
1972-01-01,both,55-59,overall,287.9
1972-01-01,both,60-64,overall,237.4
1972-01-01,both,65-69,overall,164.8
1972-01-01,both,70+,overall,224.5
1972-01-01,female,overall,overall,5649.8
1972-01-01,female,0-4,overall,859.8
1972-01-01,female,5-9,overall,828.7
1972-01-01,female,10-14,overall,754.5
1972-01-01,female,15-19,overall,638.6
1972-01-01,female,20-24,overall,509.8
1972-01-01,female,25-29,overall,386.1
1972-01-01,female,30-34,overall,332.4
1972-01-01,female,35-39,overall,284.7
1972-01-01,female,40-44,overall,238.7
1972-01-01,female,45-49,overall,202.5
1972-01-01,female,50-54,overall,172.3
1972-01-01,female,55-59,overall,139.1
1972-01-01,female,60-64,overall,113.3
1972-01-01,female,65-69,overall,76.7
1972-01-01,female,70+,overall,112.6
1972-01-01,male,overall,overall,5791.5
1972-01-01,male,0-4,overall,898.2
1972-01-01,male,5-9,overall,859.7
1972-01-01,male,10-14,overall,774.2
1972-01-01,male,15-19,overall,640.9
1972-01-01,male,20-24,overall,509.5
1972-01-01,male,25-29,overall,391.4
1972-01-01,male,30-34,overall,340.6
1972-01-01,male,35-39,overall,285.6
1972-01-01,male,40-44,overall,240.1
1972-01-01,male,45-49,overall,203.4
1972-01-01,male,50-54,overall,174.9
1972-01-01,male,55-59,overall,148.8
1972-01-01,male,60-64,overall,124.1
1972-01-01,male,65-69,overall,88.1
1972-01-01,male,70+,overall,111.9
1973-01-01,both,overall,overall,11719.8
1973-01-01,both,0-4,overall,1786.9
1973-01-01,both,5-9,overall,1686.2
1973-01-01,both,10-14,overall,1564.4
1973-01-01,both,15-19,overall,1319.9
1973-01-01,both,20-24,overall,1066.1
1973-01-01,both,25-29,overall,822.2
1973-01-01,both,30-34,overall,679.3
1973-01-01,both,35-39,overall,596.2
1973-01-01,both,40-44,overall,488.3
1973-01-01,both,45-49,overall,418.4
1973-01-01,both,50-54,overall,351.7
1973-01-01,both,55-59,overall,295.5
1973-01-01,both,60-64,overall,238.3
1973-01-01,both,65-69,overall,174.7
1973-01-01,both,70+,overall,231.6
1973-01-01,female,overall,overall,5791.9
1973-01-01,female,0-4,overall,873.8
1973-01-01,female,5-9,overall,827.9
1973-01-01,female,10-14,overall,773.7
1973-01-01,female,15-19,overall,658.7
1973-01-01,female,20-24,overall,533.9
1973-01-01,female,25-29,overall,408.0
1973-01-01,female,30-34,overall,335.2
1973-01-01,female,35-39,overall,296.1
1973-01-01,female,40-44,overall,244.1
1973-01-01,female,45-49,overall,208.3
1973-01-01,female,50-54,overall,175.4
1973-01-01,female,55-59,overall,144.3
1973-01-01,female,60-64,overall,114.1
1973-01-01,female,65-69,overall,82.5
1973-01-01,female,70+,overall,116.0
1973-01-01,male,overall,overall,5927.9
1973-01-01,male,0-4,overall,913.1
1973-01-01,male,5-9,overall,858.3
1973-01-01,male,10-14,overall,790.8
1973-01-01,male,15-19,overall,661.2
1973-01-01,male,20-24,overall,532.3
1973-01-01,male,25-29,overall,414.3
1973-01-01,male,30-34,overall,344.1
1973-01-01,male,35-39,overall,300.1
1973-01-01,male,40-44,overall,244.2
1973-01-01,male,45-49,overall,210.1
1973-01-01,male,50-54,overall,176.3
1973-01-01,male,55-59,overall,151.2
1973-01-01,male,60-64,overall,124.2
1973-01-01,male,65-69,overall,92.2
1973-01-01,male,70+,overall,115.6
1974-01-01,both,overall,overall,12001.3
1974-01-01,both,0-4,overall,1816.2
1974-01-01,both,5-9,overall,1686.4
1974-01-01,both,10-14,overall,1597.8
1974-01-01,both,15-19,overall,1361.1
1974-01-01,both,20-24,overall,1110.9
1974-01-01,both,25-29,overall,868.8
1974-01-01,both,30-34,overall,685.7
1974-01-01,both,35-39,overall,623.4
1974-01-01,both,40-44,overall,497.1
1974-01-01,both,45-49,overall,431.5
1974-01-01,both,50-54,overall,355.7
1974-01-01,both,55-59,overall,303.6
1974-01-01,both,60-64,overall,239.1
1974-01-01,both,65-69,overall,185.1
1974-01-01,both,70+,overall,238.9
1974-01-01,female,overall,overall,5935.0
1974-01-01,female,0-4,overall,888.1
1974-01-01,female,5-9,overall,827.3
1974-01-01,female,10-14,overall,791.2
1974-01-01,female,15-19,overall,680.1
1974-01-01,female,20-24,overall,557.4
1974-01-01,female,25-29,overall,430.7
1974-01-01,female,30-34,overall,337.9
1974-01-01,female,35-39,overall,307.9
1974-01-01,female,40-44,overall,249.1
1974-01-01,female,45-49,overall,214.4
1974-01-01,female,50-54,overall,178.1
1974-01-01,female,55-59,overall,149.7
1974-01-01,female,60-64,overall,114.9
1974-01-01,female,65-69,overall,88.8
1974-01-01,female,70+,overall,119.5
1974-01-01,male,overall,overall,6066.3
1974-01-01,male,0-4,overall,928.1
1974-01-01,male,5-9,overall,859.1
1974-01-01,male,10-14,overall,806.6
1974-01-01,male,15-19,overall,681.0
1974-01-01,male,20-24,overall,553.5
1974-01-01,male,25-29,overall,438.1
1974-01-01,male,30-34,overall,347.8
1974-01-01,male,35-39,overall,315.5
1974-01-01,male,40-44,overall,248.0
1974-01-01,male,45-49,overall,217.1
1974-01-01,male,50-54,overall,177.6
1974-01-01,male,55-59,overall,153.9
1974-01-01,male,60-64,overall,124.3
1974-01-01,male,65-69,overall,96.3
1974-01-01,male,70+,overall,119.4
1975-01-01,both,overall,overall,12300.3
1975-01-01,both,0-4,overall,1846.3
1975-01-01,both,5-9,overall,1693.9
1975-01-01,both,10-14,overall,1630.3
1975-01-01,both,15-19,overall,1403.7
1975-01-01,both,20-24,overall,1154.9
1975-01-01,both,25-29,overall,918.5
1975-01-01,both,30-34,overall,692.9
1975-01-01,both,35-39,overall,652.9
1975-01-01,both,40-44,overall,505.8
1975-01-01,both,45-49,overall,445.9
1975-01-01,both,50-54,overall,359.8
1975-01-01,both,55-59,overall,312.3
1975-01-01,both,60-64,overall,240.1
1975-01-01,both,65-69,overall,196.4
1975-01-01,both,70+,overall,246.5
1975-01-01,female,overall,overall,6087.2
1975-01-01,female,0-4,overall,902.9
1975-01-01,female,5-9,overall,829.5
1975-01-01,female,10-14,overall,807.7
1975-01-01,female,15-19,overall,703.3
1975-01-01,female,20-24,overall,581.1
1975-01-01,female,25-29,overall,455.0
1975-01-01,female,30-34,overall,340.9
1975-01-01,female,35-39,overall,320.6
1975-01-01,female,40-44,overall,254.0
1975-01-01,female,45-49,overall,221.1
1975-01-01,female,50-54,overall,180.8
1975-01-01,female,55-59,overall,155.5
1975-01-01,female,60-64,overall,115.8
1975-01-01,female,65-69,overall,95.6
1975-01-01,female,70+,overall,123.2
1975-01-01,male,overall,overall,6213.1
1975-01-01,male,0-4,overall,943.4
1975-01-01,male,5-9,overall,864.4
1975-01-01,male,10-14,overall,822.6
1975-01-01,male,15-19,overall,700.4
1975-01-01,male,20-24,overall,573.7
1975-01-01,male,25-29,overall,463.5
1975-01-01,male,30-34,overall,352.0
1975-01-01,male,35-39,overall,332.2
1975-01-01,male,40-44,overall,251.8
1975-01-01,male,45-49,overall,224.8
1975-01-01,male,50-54,overall,178.9
1975-01-01,male,55-59,overall,156.8
1975-01-01,male,60-64,overall,124.3
1975-01-01,male,65-69,overall,100.8
1975-01-01,male,70+,overall,123.3
1976-01-01,both,overall,overall,12588.1
1976-01-01,both,0-4,overall,1871.2
1976-01-01,both,5-9,overall,1723.1
1976-01-01,both,10-14,overall,1634.7
1976-01-01,both,15-19,overall,1438.5
1976-01-01,both,20-24,overall,1193.0
1976-01-01,both,25-29,overall,959.8
1976-01-01,both,30-34,overall,733.2
1976-01-01,both,35-39,overall,660.0
1976-01-01,both,40-44,overall,529.9
1976-01-01,both,45-49,overall,454.5
1976-01-01,both,50-54,overall,371.6
1976-01-01,both,55-59,overall,316.2
1976-01-01,both,60-64,overall,246.4
1976-01-01,both,65-69,overall,196.5
1976-01-01,both,70+,overall,259.2
1976-01-01,female,overall,overall,6233.7
1976-01-01,female,0-4,overall,914.4
1976-01-01,female,5-9,overall,843.4
1976-01-01,female,10-14,overall,809.9
1976-01-01,female,15-19,overall,722.1
1976-01-01,female,20-24,overall,601.0
1976-01-01,female,25-29,overall,476.5
1976-01-01,female,30-34,overall,360.4
1976-01-01,female,35-39,overall,323.8
1976-01-01,female,40-44,overall,264.8
1976-01-01,female,45-49,overall,226.1
1976-01-01,female,50-54,overall,186.6
1976-01-01,female,55-59,overall,158.3
1976-01-01,female,60-64,overall,120.3
1976-01-01,female,65-69,overall,96.0
1976-01-01,female,70+,overall,130.2
1976-01-01,male,overall,overall,6354.5
1976-01-01,male,0-4,overall,956.8
1976-01-01,male,5-9,overall,879.8
1976-01-01,male,10-14,overall,824.8
1976-01-01,male,15-19,overall,716.5
1976-01-01,male,20-24,overall,592.1
1976-01-01,male,25-29,overall,483.3
1976-01-01,male,30-34,overall,372.7
1976-01-01,male,35-39,overall,336.2
1976-01-01,male,40-44,overall,265.1
1976-01-01,male,45-49,overall,228.4
1976-01-01,male,50-54,overall,185.1
1976-01-01,male,55-59,overall,158.0
1976-01-01,male,60-64,overall,126.1
1976-01-01,male,65-69,overall,100.6
1976-01-01,male,70+,overall,129.0
1977-01-01,both,overall,overall,12901.1
1977-01-01,both,0-4,overall,1901.2
1977-01-01,both,5-9,overall,1756.6
1977-01-01,both,10-14,overall,1644.5
1977-01-01,both,15-19,overall,1476.3
1977-01-01,both,20-24,overall,1233.4
1977-01-01,both,25-29,overall,1001.7
1977-01-01,both,30-34,overall,776.4
1977-01-01,both,35-39,overall,668.5
1977-01-01,both,40-44,overall,556.6
1977-01-01,both,45-49,overall,463.6
1977-01-01,both,50-54,overall,385.0
1977-01-01,both,55-59,overall,320.6
1977-01-01,both,60-64,overall,253.8
1977-01-01,both,65-69,overall,197.1
1977-01-01,both,70+,overall,265.9
1977-01-01,female,overall,overall,6392.7
1977-01-01,female,0-4,overall,928.7
1977-01-01,female,5-9,overall,859.6
1977-01-01,female,10-14,overall,813.6
1977-01-01,female,15-19,overall,742.1
1977-01-01,female,20-24,overall,622.6
1977-01-01,female,25-29,overall,498.8
1977-01-01,female,30-34,overall,381.5
1977-01-01,female,35-39,overall,327.5
1977-01-01,female,40-44,overall,276.8
1977-01-01,female,45-49,overall,231.3
1977-01-01,female,50-54,overall,193.0
1977-01-01,female,55-59,overall,161.2
1977-01-01,female,60-64,overall,125.3
1977-01-01,female,65-69,overall,96.6
1977-01-01,female,70+,overall,134.1
1977-01-01,male,overall,overall,6508.4
1977-01-01,male,0-4,overall,972.4
1977-01-01,male,5-9,overall,897.0
1977-01-01,male,10-14,overall,830.9
1977-01-01,male,15-19,overall,734.2
1977-01-01,male,20-24,overall,610.8
1977-01-01,male,25-29,overall,502.8
1977-01-01,male,30-34,overall,394.9
1977-01-01,male,35-39,overall,341.0
1977-01-01,male,40-44,overall,279.9
1977-01-01,male,45-49,overall,232.2
1977-01-01,male,50-54,overall,192.0
1977-01-01,male,55-59,overall,159.4
1977-01-01,male,60-64,overall,128.5
1977-01-01,male,65-69,overall,100.5
1977-01-01,male,70+,overall,131.8
1978-01-01,both,overall,overall,13200.2
1978-01-01,both,0-4,overall,1919.9
1978-01-01,both,5-9,overall,1788.8
1978-01-01,both,10-14,overall,1656.4
1978-01-01,both,15-19,overall,1510.8
1978-01-01,both,20-24,overall,1272.2
1978-01-01,both,25-29,overall,1040.7
1978-01-01,both,30-34,overall,820.9
1978-01-01,both,35-39,overall,676.3
1978-01-01,both,40-44,overall,584.2
1978-01-01,both,45-49,overall,471.7
1978-01-01,both,50-54,overall,398.7
1978-01-01,both,55-59,overall,324.3
1978-01-01,both,60-64,overall,261.4
1978-01-01,both,65-69,overall,197.4
1978-01-01,both,70+,overall,276.5
1978-01-01,female,overall,overall,6544.4
1978-01-01,female,0-4,overall,937.3
1978-01-01,female,5-9,overall,875.3
1978-01-01,female,10-14,overall,817.3
1978-01-01,female,15-19,overall,759.9
1978-01-01,female,20-24,overall,644.3
1978-01-01,female,25-29,overall,520.5
1978-01-01,female,30-34,overall,403.1
1978-01-01,female,35-39,overall,330.8
1978-01-01,female,40-44,overall,288.8
1978-01-01,female,45-49,overall,236.0
1978-01-01,female,50-54,overall,199.6
1978-01-01,female,55-59,overall,163.7
1978-01-01,female,60-64,overall,130.5
1978-01-01,female,65-69,overall,97.2
1978-01-01,female,70+,overall,140.2
1978-01-01,male,overall,overall,6655.8
1978-01-01,male,0-4,overall,982.5
1978-01-01,male,5-9,overall,913.5
1978-01-01,male,10-14,overall,839.1
1978-01-01,male,15-19,overall,750.9
1978-01-01,male,20-24,overall,627.9
1978-01-01,male,25-29,overall,520.2
1978-01-01,male,30-34,overall,417.8
1978-01-01,male,35-39,overall,345.6
1978-01-01,male,40-44,overall,295.4
1978-01-01,male,45-49,overall,235.7
1978-01-01,male,50-54,overall,199.1
1978-01-01,male,55-59,overall,160.6
1978-01-01,male,60-64,overall,130.9
1978-01-01,male,65-69,overall,100.2
1978-01-01,male,70+,overall,136.4
1979-01-01,both,overall,overall,13518.3
1979-01-01,both,0-4,overall,1935.7
1979-01-01,both,5-9,overall,1823.4
1979-01-01,both,10-14,overall,1676.6
1979-01-01,both,15-19,overall,1544.3
1979-01-01,both,20-24,overall,1313.1
1979-01-01,both,25-29,overall,1078.9
1979-01-01,both,30-34,overall,868.4
1979-01-01,both,35-39,overall,685.3
1979-01-01,both,40-44,overall,614.3
1979-01-01,both,45-49,overall,480.1
1979-01-01,both,50-54,overall,413.8
1979-01-01,both,55-59,overall,328.1
1979-01-01,both,60-64,overall,270.0
1979-01-01,both,65-69,overall,197.8
1979-01-01,both,70+,overall,288.3
1979-01-01,female,overall,overall,6705.7
1979-01-01,female,0-4,overall,944.2
1979-01-01,female,5-9,overall,892.3
1979-01-01,female,10-14,overall,824.4
1979-01-01,female,15-19,overall,776.7
1979-01-01,female,20-24,overall,668.3
1979-01-01,female,25-29,overall,542.5
1979-01-01,female,30-34,overall,426.2
1979-01-01,female,35-39,overall,334.5
1979-01-01,female,40-44,overall,301.9
1979-01-01,female,45-49,overall,240.7
1979-01-01,female,50-54,overall,206.8
1979-01-01,female,55-59,overall,166.2
1979-01-01,female,60-64,overall,136.2
1979-01-01,female,65-69,overall,98.0
1979-01-01,female,70+,overall,146.9
1979-01-01,male,overall,overall,6812.5
1979-01-01,male,0-4,overall,991.5
1979-01-01,male,5-9,overall,931.1
1979-01-01,male,10-14,overall,852.2
1979-01-01,male,15-19,overall,767.6
1979-01-01,male,20-24,overall,644.8
1979-01-01,male,25-29,overall,536.4
1979-01-01,male,30-34,overall,442.2
1979-01-01,male,35-39,overall,350.9
1979-01-01,male,40-44,overall,312.4
1979-01-01,male,45-49,overall,239.4
1979-01-01,male,50-54,overall,207.0
1979-01-01,male,55-59,overall,161.9
1979-01-01,male,60-64,overall,133.9
1979-01-01,male,65-69,overall,99.8
1979-01-01,male,70+,overall,141.4
1980-01-01,both,overall,overall,13879.3
1980-01-01,both,overall,bumi,7926.7
1980-01-01,both,overall,chinese,4460.1
1980-01-01,both,overall,indian,1189.8
1980-01-01,both,overall,other,302.7
1980-01-01,both,0-4,overall,1979.2
1980-01-01,both,0-4,bumi,1210.2
1980-01-01,both,0-4,chinese,567.4
1980-01-01,both,0-4,indian,160.5
1980-01-01,both,0-4,other,41.1
1980-01-01,both,5-9,overall,1844.2
1980-01-01,both,5-9,bumi,1101.3
1980-01-01,both,5-9,chinese,560.5
1980-01-01,both,5-9,indian,142.5
1980-01-01,both,5-9,other,39.9
1980-01-01,both,10-14,overall,1719.1
1980-01-01,both,10-14,bumi,983.4
1980-01-01,both,10-14,chinese,544.7
1980-01-01,both,10-14,indian,146.1
1980-01-01,both,10-14,other,44.9
1980-01-01,both,15-19,overall,1576.5
1980-01-01,both,15-19,bumi,903.7
1980-01-01,both,15-19,chinese,491.3
1980-01-01,both,15-19,indian,144.1
1980-01-01,both,15-19,other,37.4
1980-01-01,both,20-24,overall,1355.2
1980-01-01,both,20-24,bumi,768.2
1980-01-01,both,20-24,chinese,417.0
1980-01-01,both,20-24,indian,131.8
1980-01-01,both,20-24,other,38.2
1980-01-01,both,25-29,overall,1118.2
1980-01-01,both,25-29,bumi,616.5
1980-01-01,both,25-29,chinese,368.9
1980-01-01,both,25-29,indian,105.0
1980-01-01,both,25-29,other,27.7
1980-01-01,both,30-34,overall,901.2
1980-01-01,both,30-34,bumi,486.9
1980-01-01,both,30-34,chinese,315.6
1980-01-01,both,30-34,indian,78.0
1980-01-01,both,30-34,other,20.6
1980-01-01,both,35-39,overall,729.9
1980-01-01,both,35-39,bumi,395.3
1980-01-01,both,35-39,chinese,262.0
1980-01-01,both,35-39,indian,58.1
1980-01-01,both,35-39,other,14.5
1980-01-01,both,40-44,overall,613.2
1980-01-01,both,40-44,bumi,337.5
1980-01-01,both,40-44,chinese,214.7
1980-01-01,both,40-44,indian,49.4
1980-01-01,both,40-44,other,11.6
1980-01-01,both,45-49,overall,516.1
1980-01-01,both,45-49,bumi,293.1
1980-01-01,both,45-49,chinese,170.6
1980-01-01,both,45-49,indian,44.3
1980-01-01,both,45-49,other,8.0
1980-01-01,both,50-54,overall,424.5
1980-01-01,both,50-54,bumi,248.8
1980-01-01,both,50-54,chinese,131.3
1980-01-01,both,50-54,indian,38.2
1980-01-01,both,50-54,other,6.3
1980-01-01,both,55-59,overall,342.5
1980-01-01,both,55-59,bumi,202.1
1980-01-01,both,55-59,chinese,104.4
1980-01-01,both,55-59,indian,31.6
1980-01-01,both,55-59,other,4.4
1980-01-01,both,60-64,overall,268.4
1980-01-01,both,60-64,bumi,149.4
1980-01-01,both,60-64,chinese,90.9
1980-01-01,both,60-64,indian,24.7
1980-01-01,both,60-64,other,3.5
1980-01-01,both,65-69,overall,200.1
1980-01-01,both,65-69,bumi,100.8
1980-01-01,both,65-69,chinese,80.0
1980-01-01,both,65-69,indian,17.4
1980-01-01,both,65-69,other,1.9
1980-01-01,both,70-74,overall,138.3
1980-01-01,both,70-74,bumi,62.0
1980-01-01,both,70-74,chinese,64.4
1980-01-01,both,70-74,indian,10.6
1980-01-01,both,70-74,other,1.3
1980-01-01,both,75-79,overall,83.0
1980-01-01,both,75-79,bumi,31.0
1980-01-01,both,75-79,chinese,47.2
1980-01-01,both,75-79,indian,4.1
1980-01-01,both,75-79,other,0.7
1980-01-01,both,80+,overall,69.8
1980-01-01,both,80+,bumi,36.6
1980-01-01,both,80+,chinese,29.2
1980-01-01,both,80+,indian,3.3
1980-01-01,both,80+,other,0.7
1980-01-01,female,overall,overall,6887.2
1980-01-01,female,overall,bumi,3971.0
1980-01-01,female,overall,chinese,2210.7
1980-01-01,female,overall,indian,575.0
1980-01-01,female,overall,other,130.5
1980-01-01,female,0-4,overall,963.9
1980-01-01,female,0-4,bumi,590.2
1980-01-01,female,0-4,chinese,275.0
1980-01-01,female,0-4,indian,78.9
1980-01-01,female,0-4,other,19.9
1980-01-01,female,5-9,overall,901.5
1980-01-01,female,5-9,bumi,541.7
1980-01-01,female,5-9,chinese,271.6
1980-01-01,female,5-9,indian,70.0
1980-01-01,female,5-9,other,18.2
1980-01-01,female,10-14,overall,842.8
1980-01-01,female,10-14,bumi,487.2
1980-01-01,female,10-14,chinese,264.3
1980-01-01,female,10-14,indian,71.4
1980-01-01,female,10-14,other,19.9
1980-01-01,female,15-19,overall,792.0
1980-01-01,female,15-19,bumi,459.4
1980-01-01,female,15-19,chinese,244.7
1980-01-01,female,15-19,indian,71.3
1980-01-01,female,15-19,other,16.6
1980-01-01,female,20-24,overall,693.9
1980-01-01,female,20-24,bumi,398.9
1980-01-01,female,20-24,chinese,212.2
1980-01-01,female,20-24,indian,67.1
1980-01-01,female,20-24,other,15.7
1980-01-01,female,25-29,overall,565.0
1980-01-01,female,25-29,bumi,315.3
1980-01-01,female,25-29,chinese,186.1
1980-01-01,female,25-29,indian,52.6
1980-01-01,female,25-29,other,11.0
1980-01-01,female,30-34,overall,445.2
1980-01-01,female,30-34,bumi,243.9
1980-01-01,female,30-34,chinese,154.9
1980-01-01,female,30-34,indian,38.3
1980-01-01,female,30-34,other,8.1
1980-01-01,female,35-39,overall,355.3
1980-01-01,female,35-39,bumi,196.5
1980-01-01,female,35-39,chinese,125.1
1980-01-01,female,35-39,indian,28.2
1980-01-01,female,35-39,other,5.4
1980-01-01,female,40-44,overall,300.1
1980-01-01,female,40-44,bumi,169.2
1980-01-01,female,40-44,chinese,102.4
1980-01-01,female,40-44,indian,23.9
1980-01-01,female,40-44,other,4.6
1980-01-01,female,45-49,overall,257.1
1980-01-01,female,45-49,bumi,149.2
1980-01-01,female,45-49,chinese,83.9
1980-01-01,female,45-49,indian,20.9
1980-01-01,female,45-49,other,3.1
1980-01-01,female,50-54,overall,214.0
1980-01-01,female,50-54,bumi,126.8
1980-01-01,female,50-54,chinese,67.7
1980-01-01,female,50-54,indian,16.8
1980-01-01,female,50-54,other,2.7
1980-01-01,female,55-59,overall,173.1
1980-01-01,female,55-59,bumi,102.1
1980-01-01,female,55-59,chinese,56.2
1980-01-01,female,55-59,indian,13.0
1980-01-01,female,55-59,other,1.8
1980-01-01,female,60-64,overall,135.2
1980-01-01,female,60-64,bumi,74.6
1980-01-01,female,60-64,chinese,49.4
1980-01-01,female,60-64,indian,9.7
1980-01-01,female,60-64,other,1.6
1980-01-01,female,65-69,overall,100.1
1980-01-01,female,65-69,bumi,49.9
1980-01-01,female,65-69,chinese,42.8
1980-01-01,female,65-69,indian,6.5
1980-01-01,female,65-69,other,0.8
1980-01-01,female,70-74,overall,68.6
1980-01-01,female,70-74,bumi,30.6
1980-01-01,female,70-74,chinese,33.6
1980-01-01,female,70-74,indian,3.7
1980-01-01,female,70-74,other,0.6
1980-01-01,female,75-79,overall,40.5
1980-01-01,female,75-79,bumi,15.7
1980-01-01,female,75-79,chinese,23.2
1980-01-01,female,75-79,indian,1.3
1980-01-01,female,75-79,other,0.3
1980-01-01,female,80+,overall,38.9
1980-01-01,female,80+,bumi,19.9
1980-01-01,female,80+,chinese,17.5
1980-01-01,female,80+,indian,1.2
1980-01-01,female,80+,other,0.3
1980-01-01,male,overall,overall,6992.0
1980-01-01,male,overall,bumi,3955.7
1980-01-01,male,overall,chinese,2249.4
1980-01-01,male,overall,indian,614.7
1980-01-01,male,overall,other,172.2
1980-01-01,male,0-4,overall,1015.2
1980-01-01,male,0-4,bumi,620.0
1980-01-01,male,0-4,chinese,292.4
1980-01-01,male,0-4,indian,81.6
1980-01-01,male,0-4,other,21.2
1980-01-01,male,5-9,overall,942.6
1980-01-01,male,5-9,bumi,559.6
1980-01-01,male,5-9,chinese,288.8
1980-01-01,male,5-9,indian,72.4
1980-01-01,male,5-9,other,21.8
1980-01-01,male,10-14,overall,876.3
1980-01-01,male,10-14,bumi,496.2
1980-01-01,male,10-14,chinese,280.5
1980-01-01,male,10-14,indian,74.6
1980-01-01,male,10-14,other,25.0
1980-01-01,male,15-19,overall,784.5
1980-01-01,male,15-19,bumi,444.3
1980-01-01,male,15-19,chinese,246.6
1980-01-01,male,15-19,indian,72.8
1980-01-01,male,15-19,other,20.8
1980-01-01,male,20-24,overall,661.2
1980-01-01,male,20-24,bumi,369.2
1980-01-01,male,20-24,chinese,204.8
1980-01-01,male,20-24,indian,64.7
1980-01-01,male,20-24,other,22.5
1980-01-01,male,25-29,overall,553.2
1980-01-01,male,25-29,bumi,301.2
1980-01-01,male,25-29,chinese,182.8
1980-01-01,male,25-29,indian,52.4
1980-01-01,male,25-29,other,16.7
